mol_name,activity,potency
CHEMBL3687318,Active,8.468521082957745
CHEMBL3649988,Active,8.397940008672037
CHEMBL3978308,Active,9.0
CHEMBL3649914,Active,7.721246399047171
CHEMBL5184577,Active,5.3999999999999995
CHEMBL5185988,Active,8.67778070526608
CHEMBL3653316,Active,9.0
CHEMBL3818934,Active,7.1095789811990855
CHEMBL3236661,Active,9.154901959985743
CHEMBL3407575,Active,9.22184875
CHEMBL3687232,Active,8.00436480540245
CHEMBL3653287,Active,9.161150909
CHEMBL4083764,Active,6.549750891680639
CHEMBL3954453,Active,8.522878745280337
CHEMBL3932127,Active,8.49485002
CHEMBL3691699,Active,8.42021640338319
CHEMBL3347643,Active,6.0
CHEMBL3653206,Active,9.4089353929735
CHEMBL191334,Active,6.612369954
CHEMBL3236650,Active,7.6777807052660805
CHEMBL3665612,Active,7.0
CHEMBL378662,Active,5.809668301829708
CHEMBL3653214,Active,9.698970004336019
CHEMBL3683164,Active,7.47755576649368
CHEMBL3971736,Active,8.823908740944319
CHEMBL3265095,Active,6.468521082957745
CHEMBL4552428,Active,5.277366077
CHEMBL3653222,Active,9.6382722
CHEMBL3941845,Active,5.7447274948966935
CHEMBL2152321,Active,5.508638306165727
CHEMBL4080951,Active,7.723538195826756
CHEMBL3657066,Active,9.769551078621726
CHEMBL3952519,Active,8.397940008672037
CHEMBL4438701,Active,5.463441557428469
CHEMBL4583833,Active,5.180456064458131
CHEMBL4064410,Active,8.356547324
CHEMBL4159944,Active,5.88605665
CHEMBL3665597,Active,6.788479
CHEMBL3236640,Active,9.187086643357144
CHEMBL3704499,Active,6.0
CHEMBL3290678,Active,5.519993057042849
CHEMBL4860936,Active,6.167491087293763
CHEMBL2398474,Active,8.086186147616283
CHEMBL3265103,Active,6.853871964321762
CHEMBL3233138,Active,8.647817481888637
CHEMBL3657024,Active,10.045757490560675
CHEMBL3923676,Active,8.397940008672037
CHEMBL3691758,Active,5.8395314688809625
CHEMBL3691751,Active,9.75448733218585
CHEMBL4075155,Active,6.79317412396815
CHEMBL3691713,Active,7.889410289700751
CHEMBL3687304,Active,8.2518119729938
CHEMBL3657044,Active,7.769934448793953
CHEMBL3290671,Active,6.142667503568731
CHEMBL3220108,Active,5.5376020021010435
CHEMBL3665607,Active,6.798602875679548
CHEMBL4099156,Active,7.096910013008056
CHEMBL3653239,Active,8.832682665251824
CHEMBL3653259,Active,9.508638306165727
CHEMBL2386351,Active,5.6649434805609085
CHEMBL3909594,Active,9.0
CHEMBL3687287,Active,7.939302159646388
CHEMBL3653335,Active,8.301029995663981
CHEMBL3649877,Active,7.958607314841775
CHEMBL2396745,Active,6.6020599913279625
CHEMBL4068667,Active,6.849243560139691
CHEMBL3799375,Active,6.823908740944319
CHEMBL3125698,Active,10.0
CHEMBL3647048,Active,8.522878745280337
CHEMBL2396674,Active,7.52578374
CHEMBL3649826,Active,8.522878745280337
CHEMBL3407572,Active,9.2839966563652
CHEMBL4163281,Active,6.142667503568731
CHEMBL3647070,Active,7.598599459
CHEMBL3683148,Active,6.693360558975738
CHEMBL1689399,Active,7.823908740944319
CHEMBL3665583,Active,6.2339591396186105
CHEMBL3649865,Active,9.0
